C_HLEVEL	C_FULLNAME	C_NAME	C_SYNONYM_CD	C_VISUALATTRIBUTES	C_TOTALNUM	C_BASECODE	C_METADATAXML	C_FACTTABLECOLUMN	C_TABLENAME	C_COLUMNNAME	C_COLUMNDATATYPE	C_OPERATOR	C_DIMCODE	C_COMMENT	C_TOOLTIP	M_APPLIED_PATH	UPDATE_DATE	DOWNLOAD_DATE	IMPORT_DATE	SOURCESYSTEM_CD	VALUETYPE_CD	M_EXCLUSION_CD	C_PATH	C_SYMBOL
5	\ACT\Visit Details\Age at visit\0-9 years old\0 years old\04 months\	Visit at age 04 months	N	LA 		DEM|AGE:0.4		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,4) AND ADD_MONTHS(BIRTH_DATE,5)-1		Visit Details \ Age at visit \ \ 04 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
5	\ACT\Visit Details\Age at visit\0-9 years old\0 years old\05 months\	Visit at age 05 months	N	LA 		DEM|AGE:0.5		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,5) AND ADD_MONTHS(BIRTH_DATE,6)-1		Visit Details \ Age at visit \ \ 05 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
5	\ACT\Visit Details\Age at visit\0-9 years old\0 years old\06 months\	Visit at age 06 months	N	LA 		DEM|AGE:0.6		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,6) AND ADD_MONTHS(BIRTH_DATE,7)-1		Visit Details \ Age at visit \ \ 06 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
5	\ACT\Visit Details\Age at visit\0-9 years old\0 years old\07 months\	Visit at age 07 months	N	LA 		DEM|AGE:0.7		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,7) AND ADD_MONTHS(BIRTH_DATE,8)-1		Visit Details \ Age at visit \ \ 07 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
5	\ACT\Visit Details\Age at visit\0-9 years old\0 years old\08 months\	Visit at age 08 months	N	LA 		DEM|AGE:0.8		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,8) AND ADD_MONTHS(BIRTH_DATE,9)-1		Visit Details \ Age at visit \ \ 08 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
5	\ACT\Visit Details\Age at visit\0-9 years old\0 years old\09 months\	Visit at age 09 months	N	LA 		DEM|AGE:0.9		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,9) AND ADD_MONTHS(BIRTH_DATE,10)-1		Visit Details \ Age at visit \ \ 09 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
5	\ACT\Visit Details\Age at visit\0-9 years old\0 years old\10 months\	Visit at age 10 months	N	LA 		DEM|AGE:0.10		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,10) AND ADD_MONTHS(BIRTH_DATE,11)-1		Visit Details \ Age at visit \ \ 10 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
5	\ACT\Visit Details\Age at visit\0-9 years old\0 years old\11 months\	Visit at age 11 months	N	LA 		DEM|AGE:0.11		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,11) AND ADD_MONTHS(BIRTH_DATE,12)-1		Visit Details \ Age at visit \ \ 11 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
5	\ACT\Visit Details\Age at visit\0-9 years old\0 years old\12 months\	Visit at age 12 months	N	LA 		DEM|AGE:0.12		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,12) AND ADD_MONTHS(BIRTH_DATE,13)-1		Visit Details \ Age at visit \ \ 12 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
4	\ACT\Visit Details\Age at visit\0-9 years old\1 years old\	Visit at age 1 year old	N	FA 		 		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,1*12) AND ADD_MONTHS(BIRTH_DATE,2*12)-1		Demographics \ Age \ 0-9 years old \ 1 year old	@	24-MAY-21	24-MAY-21	24-MAY-21					
5	\ACT\Visit Details\Age at visit\0-9 years old\1 years old\13 months\	Visit at age 13 months	N	LA 		DEM|AGE:1.1		encounter_num	visit_dimension	patient_num	N	IN	SELECT PATIENT_NUM FROM PATIENT_DIMENSION WHERE PATIENT_NUM = VISIT_DIMENSION.PATIENT_NUM AND TRUNC(VISIT_DIMENSION.START_DATE) BETWEEN ADD_MONTHS(BIRTH_DATE,13) AND ADD_MONTHS(BIRTH_DATE,14)-1		Visit Details \ Age at visit \ \ 01 months \	@	24-MAY-21	24-MAY-21	24-MAY-21					
