C_HLEVEL	C_FULLNAME	C_NAME	C_SYNONYM_CD	C_VISUALATTRIBUTES	C_TOTALNUM	C_BASECODE	C_METADATAXML	C_FACTTABLECOLUMN	C_TABLENAME	C_COLUMNNAME	C_COLUMNDATATYPE	C_OPERATOR	C_DIMCODE	C_COMMENT	C_TOOLTIP	M_APPLIED_PATH	UPDATE_DATE	DOWNLOAD_DATE	IMPORT_DATE	SOURCESYSTEM_CD	VALUETYPE_CD	M_EXCLUSION_CD	C_PATH	C_SYMBOL
4	\SDOH\ACS\Some other race alone or in combination with one or more other races\Race\SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES\	SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\Some other race alone or in combination with one or more other races\Race\SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES\		SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES	@	2025-05-21	2025-05-21	2025-05-21	MU				
4	\SDOH\ACS\Total population\Age-Sex\MEDIAN AGE BY SEX\	MEDIAN AGE BY SEX	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\Total population\Age-Sex\MEDIAN AGE BY SEX\		MEDIAN AGE BY SEX	@	2025-05-21	2025-05-21	2025-05-21	MU				
4	\SDOH\ACS\Own children under 18 years in families and subfamilies\Employment Status\AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS\	AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\Own children under 18 years in families and subfamilies\Employment Status\AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS\		AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS	@	2025-05-21	2025-05-21	2025-05-21	MU				
4	\SDOH\ACS\Renter-occupied housing units\Imputations\ALLOCATION OF GROSS RENT\	ALLOCATION OF GROSS RENT	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\Renter-occupied housing units\Imputations\ALLOCATION OF GROSS RENT\		ALLOCATION OF GROSS RENT	@	2025-05-21	2025-05-21	2025-05-21	MU				
4	\SDOH\ACS\Workers 16 years and over living in a Metropolitan Statistical Area\Journey to Work\PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL\	PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\Workers 16 years and over living in a Metropolitan Statistical Area\Journey to Work\PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL\		PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL	@	2025-05-21	2025-05-21	2025-05-21	MU				
4	\SDOH\ACS\Renter-occupied housing units paying cash rent\Housing\UPPER CONTRACT RENT QUARTILE (DOLLARS)\	UPPER CONTRACT RENT QUARTILE (DOLLARS)	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\Renter-occupied housing units paying cash rent\Housing\UPPER CONTRACT RENT QUARTILE (DOLLARS)\		UPPER CONTRACT RENT QUARTILE (DOLLARS)	@	2025-05-21	2025-05-21	2025-05-21	MU				
4	\SDOH\ACS\Population 15 years and over\Marital Status\SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER\	SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\Population 15 years and over\Marital Status\SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER\		SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER	@	2025-05-21	2025-05-21	2025-05-21	MU				
4	\SDOH\ACS\American Indian and Alaska Native alone population 15 years and over\Income\AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE)\	AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE)	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\American Indian and Alaska Native alone population 15 years and over\Income\AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE)\		AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE)	@	2025-05-21	2025-05-21	2025-05-21	MU				
4	\SDOH\ACS\People who are Two or More Races\Age-Sex\MEDIAN AGE BY SEX (TWO OR MORE RACES)\	MEDIAN AGE BY SEX (TWO OR MORE RACES)	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\People who are Two or More Races\Age-Sex\MEDIAN AGE BY SEX (TWO OR MORE RACES)\		MEDIAN AGE BY SEX (TWO OR MORE RACES)	@	2025-05-21	2025-05-21	2025-05-21	MU				
4	\SDOH\ACS\Households\Imputations\ALLOCATION OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - PERCENT OF INCOME ALLOCATED\	ALLOCATION OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - PERCENT OF INCOME ALLOCATED	N	FA				acs_fact.concept_cd	concept_dimension	concept_path	T	LIKE	\SDOH\ACS\Households\Imputations\ALLOCATION OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - PERCENT OF INCOME ALLOCATED\		ALLOCATION OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - PERCENT OF INCOME ALLOCATED	@	2025-05-21	2025-05-21	2025-05-21	MU				
