Id,ParentId,Level,Code,Sequence,CodeText,Component,Property,Timing,System,Scale,Method
89659604,31205369,1,LP436982-5,242864,Scanned Laboratory Result,,,,,,
179339444,89659604,2,101792-0,1,Scanned lab result,Scanned Laboratory Result,Find,Pt,{Setting},Doc,
31205294,,0,LP410934-6,1,{Kind of document},,,,,,
31205295,31205294,1,LP173387-4,1,Administrative note,,,,,,
31205296,31205295,2,LP173388-2,1,Against medical advice note,,,,,,
180061443,31205296,3,86449-6,1,Against med advice note,Against medical advice note,Find,Pt,{Setting},Doc,{Role}
31205297,31205295,2,LP173389-0,2,Agreement,,,,,,
34100300,31205297,3,LP412176-2,1,Controlled substance agreement,,,,,,
180130359,34100300,4,94136-9,1,Cntrl Substance Agreement,Controlled substance agreement,Find,Pt,{Setting},Doc,{Role}
180082820,34100300,4,88639-0,2,Pain medicine Cntrl Substance Agreement,Controlled substance agreement,Find,Pt,{Setting},Doc,Pain medicine
180005308,31205297,3,80570-5,2,Agreement,Agreement,Find,Pt,{Setting},Doc,{Role}
180041393,31205297,3,84194-0,3,Mental health Agreement,Agreement,Find,Pt,{Setting},Doc,Mental health
180082800,31205297,3,88637-4,4,Nurse Agreement,Agreement,Find,Pt,{Setting},Doc,Nurse
180082802,31205297,3,88638-2,5,Nurse LTC fac Agreement,Agreement,Find,Pt,Long term care facility,Doc,Nurse
31205298,31205295,2,LP173390-8,3,Certificate,,,,,,
31205299,31205298,3,LP173391-6,1,Birth certificate,,,,,,
179920414,31205299,4,71230-7,1,Birth certificate,Birth certificate,Find,Pt,{Setting},Doc,{Role}
31205300,31205298,3,LP173392-4,2,Death certificate,,,,,,
179867559,31205300,4,64297-5,1,Death certificate,Death certificate,Find,Pt,{Setting},Doc,{Role}
31205301,31205298,3,LP173393-2,3,Evaluation of mental and physical incapacity certificate,,,,,,
179928566,31205301,4,72267-8,1,Eval incapacity cert,Evaluation of mental and physical incapacity certificate,Find,Pt,{Setting},Doc,{Role}
31205302,31205298,3,LP267921-7,4,Proof of encounter certificate,,,,,,
180091232,31205302,4,89601-9,1,Encounter certificate,Proof of encounter certificate,Find,Pt,{Setting},Doc,{Role}
180005314,31205298,3,80571-3,5,Certificate,Certificate,Find,Pt,{Setting},Doc,{Role}
31205303,31205295,2,LP173394-0,4,Consent,,,,,,
31205304,31205303,3,LP173395-7,1,Abortion consent,,,,,,
179764523,31205304,4,52027-0,1,Abortion consent,Abortion consent,Find,Pt,{Setting},Doc,Patient
89290185,31205303,3,LP436850-4,2,Organ &or tissue donation consent,,,,,,
179333468,89290185,4,101133-7,1,Organ AndOr tissue donation consent,Organ &or tissue donation consent,Find,Pt,{Setting},Doc,Patient
31205305,31205303,3,LP173396-5,3,Anesthesia consent,,,,,,
179845743,31205305,4,61359-6,1,Anesthesia consent,Anesthesia consent,Find,Pt,{Setting},Doc,Patient
31205306,31205303,3,LP267939-9,4,Blood or blood product transfusion consent,,,,,,
180089540,31205306,4,89428-7,1,Transfusion consent,Blood or blood product transfusion consent,Find,Pt,{Setting},Doc,Patient
31205307,31205303,3,LP173397-3,5,Hysterectomy consent,,,,,,
179764534,31205307,4,52028-8,1,Hysterectomy consent,Hysterectomy consent,Find,Pt,{Setting},Doc,Patient
31205308,31205303,3,LP267417-6,6,Long-term opioid therapy for pain consent,,,,,,
180089484,31205308,4,89424-6,1,Opioid therapy consent,Long-term opioid therapy for pain consent,Find,Pt,{Setting},Doc,{Role}
31205309,31205303,3,LP173398-1,7,Organ donation consent,,,,,,
179867581,31205309,4,64300-7,1,Organ donation consent,Organ donation consent,Find,Pt,{Setting},Doc,Patient
31205310,31205303,3,LP173399-9,8,Procedure consent,,,,,,
31205311,31205310,4,LP173400-5,1,Release of information consent,,,,,,
179867497,31205311,5,64292-6,1,Release of information consent,Release of information consent,Find,Pt,{Setting},Doc,Patient
179867506,31205310,4,64293-4,2,Procedure consent,Procedure consent,Find,Pt,{Setting},Doc,Patient
33850052,31205303,3,LP416139-6,9,Research study consent,,,,,,
179976625,33850052,4,77602-1,1,Research study consent,Research study consent,Find,Pt,{Setting},Doc,Patient
31205312,31205303,3,LP173401-3,10,Sterilization consent,,,,,,
179764543,31205312,4,52029-6,1,Sterilization consent,Sterilization consent,Find,Pt,{Setting},Doc,Patient
31205313,31205303,3,LP173402-1,11,Surgical operation consent,,,,,,
179845735,31205313,4,61358-8,1,Operative consent,Surgical operation consent,Find,Pt,{Setting},Doc,Patient
180136512,31205303,3,94748-1,12,MAiD Patient Consent,Consent,Find,Pt,{Setting},Doc,Medical aid in dying.patient
179828885,31205303,3,59284-0,13,Consent,Consent,Find,Pt,{Setting},Doc,Patient
180150599,31205303,3,96347-0,14,Radiology Consent,Consent,Find,Pt,{Setting},Doc,Radiology
180089525,31205303,3,89427-9,15,E+M consent,Evaluation and management consent,Find,Pt,{Setting},Doc,Patient
31205314,31205295,2,LP173403-9,5,Contract,,,,,,
31205315,31205295,2,LP193873-9,6,Driver license,,,,,,
179774717,31205315,3,53245-7,1,Driver license,Driver license,Find,Pt,{Setting},Doc,{Role}
31205316,31205295,2,LP173404-7,7,Health insurance card,,,,,,
179867477,31205316,3,64290-0,1,Health insurance card,Health insurance card,Find,Pt,{Setting},Doc,Patient
31205317,31205295,2,LP173405-4,8,Health insurance-related form,,,,,,
179867491,31205317,3,64291-8,1,Health insurance-related form,Health insurance-related form,Find,Pt,{Setting},Doc,Patient
31205318,31205295,2,LP173406-2,9,Health record cover sheet,,,,,,
31205319,31205295,2,LP173407-0,10,Legal document,,,,,,
31205320,31205319,3,LP200113-1,1,Legal letter,,,,,,
179985307,31205320,4,78506-3,1,Legal letter,Legal letter,Find,Pt,{Setting},Doc,{Role}
33850048,31205319,3,LP416137-0,2,Portable medical order form,,,,,,
180121299,33850048,4,93037-0,1,Portable med order form,Portable medical order form,Find,Pt,{Setting},Doc,{Role}
31205321,31205319,3,LP173408-8,3,Power of attorney,,,,,,
179867568,31205321,4,64298-3,1,Power of attorney,Power of attorney,Find,Pt,{Setting},Doc,Patient
180117455,31205321,4,92664-2,2,Patient POA+Living will,Power of attorney+Living will,Find,Pt,{Setting},Doc,Patient
179867577,31205319,3,64299-1,4,Legal document,Legal document,Find,Pt,{Setting},Doc,
31205322,31205295,2,LP248740-5,11,Medical clearance note,,,,,,
180058726,31205322,3,86210-2,1,MD Med clearance note,Medical clearance note,Find,Pt,{Setting},Doc,Physician
180058773,31205322,3,86213-6,2,Vocational rehab Med clearance note,Medical clearance note,Find,Pt,{Setting},Doc,Vocational rehabilitation
31205323,31205295,2,LP181089-6,12,Request,,,,,,
31205324,31205323,3,LP181085-4,1,Prescription request,,,,,,
