C_HLEVEL	C_FULLNAME	C_NAME	C_SYNONYM_CD	C_VISUALATTRIBUTES	C_TOTALNUM	C_BASECODE	C_METADATAXML	C_FACTTABLECOLUMN	C_TABLENAME	C_COLUMNNAME	C_COLUMNDATATYPE	C_OPERATOR	C_DIMCODE	C_COMMENT	C_TOOLTIP	M_APPLIED_PATH	UPDATE_DATE	DOWNLOAD_DATE	IMPORT_DATE	SOURCESYSTEM_CD	VALUETYPE_CD	M_EXCLUSION_CD	C_PATH	C_SYMBOL
2	\ACT\Demographics\PCORNet Sites\	PCORNet Sites	N	FA 				patient_num	patient_dimension	PCORNET_SITE_ID	T	IN	('C4AH','C4IHC','C4MCRF','C4MCW','C7CHOP','C4UMO','C4UN','C4UTHSCSA','C4UTHSC','C4UTSW','C4UI','C4UK','C4UU','C4WU')		Demographics \ PCORNet Sites	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\Allina Health Sys\	Allina Health Sys	N	LA 		C4AH		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4AH		Demographics \ PCORNet Sites \ Allina Health Sys	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\Intermountain HC\	Intermountain HC	N	LA 		C4IHC		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4IHC		Demographics \ PCORNet Sites \ Intermountain HC	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\Marshfield Clinic\	Marshfield Clinic	N	LA 		C4MCRF		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4MCRF		Demographics \ PCORNet Sites \ Marshfield Clinic	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\Med Coll Wisconsin\	Med Coll Wisconsin	N	LA 		C4MCW		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4MCW		Demographics \ PCORNet Sites \ Med Coll Wisconsin	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\Children's Phila\	Children's Phila	N	LA 		C7CHOP		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C7CHOP		Demographics \ PCORNet Sites \ Children's Phila	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\U of Missouri HC\	U of Missouri HC	N	LA 		C4UMO		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4UMO		Demographics \ PCORNet Sites \ U of Missouri HC	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\U of Nebraska\	U of Nebraska	N	LA 		C4UN		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4UN		Demographics \ PCORNet Sites \ U of Nebraska	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\UT HSC San Antonio\	UT HSC San Antonio	N	LA 		C4UTHSCSA		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4UTHSCSA		Demographics \ PCORNet Sites \ UT HSC San Antonio	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\UT Houston\	UT Houston	N	LA 		C4UTHSC		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4UTHSC		Demographics \ PCORNet Sites \ UT Houston	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\UT SW Med Ctr\	UT SW Med Ctr	N	LA 		C4UTSW		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4UTSW		Demographics \ PCORNet Sites \ UT SW Med Ctr	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\University of Iowa\	University of Iowa	N	LA 		C4UI		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4UI		Demographics \ PCORNet Sites \ University of Iowa	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\University of Kansas\	University of Kansas	N	LA 		C4UK		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4UK		Demographics \ PCORNet Sites \ University of Kansas	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\University of Utah\	University of Utah	N	LA 		C4UU		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4UU		Demographics \ PCORNet Sites \ University of Utah	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\PCORNet Sites\Washington Univ\	Washington Univ	N	LA 		C4WU		patient_num	patient_dimension	PCORNET_SITE_ID	T	=	C4WU		Demographics \ PCORNet Sites \ Washington Univ	@	13-MAR-23	13-MAR-23	13-MAR-23					
