C_HLEVEL	C_FULLNAME	C_NAME	C_SYNONYM_CD	C_VISUALATTRIBUTES	C_TOTALNUM	C_BASECODE	C_METADATAXML	C_FACTTABLECOLUMN	C_TABLENAME	C_COLUMNNAME	C_COLUMNDATATYPE	C_OPERATOR	C_DIMCODE	C_COMMENT	C_TOOLTIP	M_APPLIED_PATH	UPDATE_DATE	DOWNLOAD_DATE	IMPORT_DATE	SOURCESYSTEM_CD	VALUETYPE_CD	M_EXCLUSION_CD	C_PATH	C_SYMBOL
2	\ACT\Demographics\GPC Sites\	GPC Sites	N	FA 				patient_num	patient_dimension	gpc_site	T	IN	('C4AH','C4IHC','C4MCRF','C4WU','C4UI','C4UTSW','C4UK','C4UMO','C4MCW','C4UU','C4UTHSC','C4UTHSCSA','C4UN')		Demographics \ GPC Sites	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\Allina Health System\	Allina Health System	N	LA 		C4AH		patient_num	patient_dimension	gpc_site	T	=	C4AH		Demographics \ GPC Sites \ Allina Health System	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\Intermountain Healthcare\	Intermountain Healthcare	N	LA 		C4IHC		patient_num	patient_dimension	gpc_site	T	=	C4IHC		Demographics \ GPC Sites \ Intermountain Healthcare	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\Marshfield Clinic Research Institute\	Marshfield Clinic Research Institute	N	LA 		C4MCRF		patient_num	patient_dimension	gpc_site	T	=	C4MCRF		Demographics \ GPC Sites \ Marshfield Clinic Research Institute	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\Washington University at St. Louis\	Washington University at St. Louis	N	LA 		C4WU		patient_num	patient_dimension	gpc_site	T	=	C4WU		Demographics \ GPC Sites \ Washington University at St. Louis	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\University of Iowa\	University of Iowa	N	LA 		C4UI		patient_num	patient_dimension	gpc_site	T	=	C4UI		Demographics \ GPC Sites \ University of Iowa	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\University of Texas Southwestern Medical Center\	University of Texas Southwestern Medical Center	N	LA 		C4UTSW		patient_num	patient_dimension	gpc_site	T	=	C4UTSW		Demographics \ GPC Sites \ University of Texas Southwestern Medical Center	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\University of Kansas Medical Center\	University of Kansas Medical Center	N	LA 		C4UK		patient_num	patient_dimension	gpc_site	T	=	C4UK		Demographics \ GPC Sites \ University of Kansas Medical Center	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\University of Missouri\	University of Missouri	N	LA 		C4UMO		patient_num	patient_dimension	gpc_site	T	=	C4UMO		Demographics \ GPC Sites \ University of Missouri	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\Medical College of Wisconsin\	Medical College of Wisconsin	N	LA 		C4MCW		patient_num	patient_dimension	gpc_site	T	=	C4MCW		Demographics \ GPC Sites \ Medical College of Wisconsin	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\University of Utah\	University of Utah	N	LA 		C4UU		patient_num	patient_dimension	gpc_site	T	=	C4UU		Demographics \ GPC Sites \ University of Utah	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\University of Texas Health Science Center at Houston\	University of Texas Health Science Center at Houston	N	LA 		C4UTHSC		patient_num	patient_dimension	gpc_site	T	=	C4UTHSC		Demographics \ GPC Sites \ University of Texas Health Science Center at Houston	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\University of Texas Health Science Center at San Antonio\	University of Texas Health Science Center at San Antonio	N	LA 		C4UTHSCSA		patient_num	patient_dimension	gpc_site	T	=	C4UTHSCSA		Demographics \ GPC Sites \ University of Texas Health Science Center at San Antonio	@	13-MAR-23	13-MAR-23	13-MAR-23					
3	\ACT\Demographics\GPC Sites\University of Nebraska Medical Center\	University of Nebraska Medical Center	N	LA 		C4UN		patient_num	patient_dimension	gpc_site	T	=	C4UN		Demographics \ GPC Sites \ University of Nebraska Medical Center	@	13-MAR-23	13-MAR-23	13-MAR-23					
