
Data Item Number,Data Item Name,Alternate Name
70,Addr at DX--City,City or Town (pre-96 CoC)
70,Addr at DX--City,City/Town at Diagnosis (CoC)
80,Addr at DX--State,State (pre-96 CoC)
80,Addr at DX--State,State at Diagnosis (CoC)
81,State at DX Geocode 1970/80/90,State at DX Geocode1990
90,County at DX Reported,County (pre-96 SEER/CoC)
90,County at DX Reported,County at DX
90,County at DX Reported,County at Diagnosis (CoC)
94,County at DX Geocode 1970/80/90,County at DX Geocode1990
100,Addr at DX--Postal Code,Postal Code (CCCR)
100,Addr at DX--Postal Code,Postal Code at Diagnosis (CoC)
100,Addr at DX--Postal Code,Zip Code (pre-CoC)
110,Census Tract 1970/80/90,Census Tract
110,Census Tract 1970/80/90,Census Tract/Block Numbering Area (BNA) (SEER)
120,Census Cod Sys 1970/80/90,Census Coding System (CoC)
120,Census Cod Sys 1970/80/90,Coding System for Census Tract (pre-96 SEER/CoC)
130,Census Tract 2000,Census Tract--Alternate (pre-2003)
150,Marital Status at DX,Marital Status at Diagnosis (SEER/CoC)
150,Marital Status at DX,Marital Status at Initial Diagnosis (pre-96 CoC)
160,Race 1,Race
190,Spanish/Hispanic Origin,Spanish Origin--All Sources (96 CoC)
190,Spanish/Hispanic Origin,Spanish Surname or Origin (SEER)
192,IHS Link,Indian Health Service Linkage
193,Race--NAPIIA(derived API),Race--NAPIIA
240,Date of Birth,Birth Date(SEER/CoC/CCCR)
272,Census Ind Code CDC,Census Ind Code 2010 CDC
272,Census Ind Code CDC,Census Industry Code--2010
282,Census Occ Code CDC,Census Occ Code 2010
282,Census Occ Code CDC,Census Occ Code 2010 CDC
285,Urban Indian Organization (UIO) Service Area,UIHO City
285,Urban Indian Organization (UIO) Service Area,Urban Indian Health Organization City
339,RUCA 2000,Rural Urban Commuting Area-Tract-level 2000
341,RUCA 2010,Rural Urban Commuting Area-Tract-level 2010
345,URIC 2000,Urban Rural Indicator Code-Tract-level 2000
346,URIC 2010,Urban Rural Indicator Code-Tract-level 2010
364,Census Tr Cert 1970/80/90,Census Tract Certainty
368,Census Block Grp 1970/80/90,Census Block Grp 1970-90
368,Census Block Grp 1970/80/90,CensusBlockGroup 70/80/90
380,Sequence Number--Central,Sequence Number (pre-96 SEER)
390,Date of Diagnosis,Date of Initial Diagnosis (CoC)
400,Primary Site,IDC-O-2/3 Topography (CCCR)
410,Laterality,Laterality at Diagnosis (SEER)
420,Histology (92-00) ICD-O-2,Histology (CoC)
420,Histology (92-00) ICD-O-2,ICD-O-2 Histology (CCCR)
430,Behavior (92-00) ICD-O-2,ICD-O-2 Behaviour (CCCR)
440,Grade,"Grade, Differentiation, or Cell Lineage Indicator (SEER/CCCR)"
440,Grade,Grade/Differentiation (CoC)
442,Ambiguous Terminology DX,Ambiguous Terminology
442,Ambiguous Terminology DX,Ambiguous Terminology as Basis for Diagnosis
443,Date Conclusive DX,Date of Conclusive DX
443,Date Conclusive DX,Date of Conclusive Diagnosis
443,Date Conclusive DX,Date of Conclusive Terminology
444,Mult Tum Rpt as One Prim,Multiple Tumors Reported as Single Primary
444,Mult Tum Rpt as One Prim,Type of Multiple Tumors Reported As One Primary
445,Date of Mult Tumors,Date of Multiple Tumors
1790,Follow-Up Source,Follow-Up Method (pre-96 CoC)
1800,Next Follow-Up Source,Next Follow-Up Method (pre-96 CoC)
1810,Addr Current--City,City/Town--Current (CoC)
1820,Addr Current--State,State--Current (CoC)
1830,Addr Current--Postal Code,Postal Code--Current (CoC)
