
Data Item Number,Data Item Name,Length,Source of Standard,Record Type,Section Name,XML NAACCR ID,Parent XML Element,Year Implemented,Version Implemented,Year Retired,Version Retired,NPCR Collect,CoC Collect,SEER Collect,CCCR Collect,Description,Rationale,Clarification,General Notes,Instructions for Coding,Allowable Values,Format,Data Type,Code Notes,Record Layout Table Note,Required Status Table Note,Data Descriptor Table Note,Record Layout Note,Required Status Note,Data Descriptor Note,Data Dictionary Description Note,Data Dictionary Rationale Note,Data Dictionary Code Note
10,Record Type,1,NAACCR,"A,C,I,M",Record ID,recordType,NaaccrData,,pre V4,,,R,.,.,R,Generated field that identifies which of the six NAACCR data exchange record types is being used in a file of data exchange records. A file should have records of only one type.,,,,**Codes**,"I, C, A, U, M, L",,text,,,,,,,,,,
20,Patient ID Number,8,Reporting Registry,"A,C,I,M",Record ID,patientIdNumber,Patient,,,,,R,.,R,R*,"Unique number assigned to an individual patient by the central registry. The central registry will assign this same number to all of the patient’s subsequent tumors (records).   
  
Patient ID Number will only differ when multiple central registries accession the same patient. Each central registry will assign their unique Patient ID Number.  
  
NAACCR recommends that the registry should not reissue or reuse this number when a patient’s record is deleted from the files.  
  
In the transmit file (data exchange) this number will be the Patient ID Number assigned by the sending registry as defined in Registry ID [40].",Provides the central registry with a unique identification number that will link all records (multiple tumors) for the same patient. The unique number also allows the central registry to identify the patient when there are multiple reports from different hospitals.,,,,,"Right justified, zero filled",digits,,,,,,,,,,
21,Patient System ID-Hosp,8,NAACCR,"A,C,I,M",Record ID,patientSystemIdHosp,Tumor,2006,11,,,.,.,.,.,"The unique, non-repeating number automatically assigned to patients by the hospital tumor registry software system. The same number is used for all the patient's subsequent tumors. This Patient System ID-Hosp number should not be reused when a patient is deleted.  
  
This number is different from Accession Number-Hosp [550]. While Accession Number-Hosp [550] is subject to change, the Patient System ID-Hosp number is created and maintained by the hospital tumor registry’s software system, and requires no key entry. Because the Patient System ID-Hosp number is unchanging, it affords an absolute linkage between a hospital patient record and a central registry’s patient record.","This provides a stable identifier to link back to all reported tumors for a patient. It also serves as a reliable linking identifier; useful when central registries send follow-up information back to hospitals. Other identifiers such as social security number and medical record number, while useful, are subject to change and are thus less useful for this type of record linkage.",,,,,"Right justified, zero filled",digits,,,,,,,,,,
30,Registry Type,1,NAACCR,"A,C,I,M",Record ID,registryType,NaaccrData,,,,,.,.,.,.,A computer-generated code that best describes the type of registry generating the record; used when cases are pooled from multiple registries (a hospital-based registry reporting to a state should have a “3” in this field).,Facilitates tracking of data sources when data from multiple registries are pooled.,,,**Codes**,1-3,,digits,,,,,,,,,,
40,Registry ID,10,NAACCR,"A,C,I,M",Record ID,registryId,NaaccrData,,,,,R,.,R,R,"A unique code that represents the data transmission source. This item should be used for central registries and non-US health care providers. Refer to Registry ID table in Appendix B.

For cases diagnosed on or after 2008, this item may be blank if NPI--Registry ID (item 45) is used to represent the data transmission source. 

",Used to track data submission flow and to resolve transmission issues.,,,**Codes (in addition to CoC assigned codes or NAACCR assigned codes)** ,10-digit number. Reference to EDITS table REGID.DBF in Appendix B,"Right justified, zero filled",digits,"*Note:* Prior to 2008, this field may contain data from reporting facilities.",,,,,,,,,
45,NPI--Registry ID,10,CMS,"A,C,I,M",Record ID,npiRegistryId,NaaccrData,2007,11.1,,,.,.,R*,.,"The NPI (National Provider Identifier) code that represents the data transmission source. This item stores the NPI of the facility registry that transmits the record.  
  
NPI, a unique identification number for US health care providers, was scheduled for 2007-2008 implementation by the Centers for Medicare & Medicaid Services (CMS) as part of the Health Insurance Portability and Accountability Act of 1996 (HIPAA). For billing purposes, large practices and large group providers were required to use NPI codes by May 2007; small health plans were required to use NPI codes by May 2008.  
  
If the transmission source is not a health care provider or a covered entity, this item will be blank and the item Registry ID [40] should be used to identify the transmission source.",The NPI equivalent of Registry ID [40].,,,**Codes [only valid NPI assigned 10-digit numeric codes (9-digit number plus 1 check digit). The check digit algorithm is available at: <https://nppes.cms.hhs.gov/NPPES/NPIRegistryHome.do>]**,"10-digit NPI code (9-digit integer plus 1 check digit), blank",,digits,,,,,,,,,,
50,NAACCR Record Version,3,NAACCR,"A,C,I,M",Record ID,naaccrRecordVersion,NaaccrData,,,,,R,.,R,.,"This item applies only to record types I, C, A, and M. Code the NAACCR record version used to create the record. The correction record (U) has its own record version data item.",The NAACCR Layout version is necessary to communicate to the recipient of data in NAACCR form where the various items are found and how they are coded. It should be added to the record when the recorded is created.,,,**Codes**,"120, 121, 122, 130, 140, 150, 160, 180, 210, 220, 230, 240, 250",,digits,"Historically (before 2010), this was a 1-character field with the following codes in column 19:

*   1             1992-1994 Version 2 and Version 3
*   4             1995 Version 4.0
*   5             1996 and 1997 Version 5.0 or Version 5.1
*   6             1998 Version 6
*   7             1999 Version 7
*   8             2000 Version 8
*   9             2001 and 2002 Version 9 and 9.1
*   A             2003, 2004, and 2005 Version 10, 10.1, and 10.2
*   B             2006, 2007, and 2008 Version 11, 11.1, 11.2, and 11.3
*   Blank     September 1989 Version

_Note_: Code 4 was assigned to the 1995 Version to synchronize the document version and the layout version numbers. Layout document Versions 2 and 3 are coded as 1.",,,Revised,,,Revised,,,Revised
70,Addr at DX--City,50,CoC,"A,C,I,M",Demographic,addrAtDxCity,Tumor,,,,,R,R,R,R*,"Name of the city in which the patient resides at the time the reportable tumor was diagnosed. If the patient resides in a rural area, record the name of the city used in the mailing address. If the patient has multiple primaries, the city of residence may be different for each primary.",,,,**Codes (in addition to valid City)** ,City name or UNKNOWN,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",text,,,,,,,,,,
80,Addr at DX--State,2,CoC,"A,C,I,M",Demographic,addrAtDxState,Tumor,2011,12.2,,,R,R,R,.,"Identifies the patient’s state or province of residence at the time of diagnosis as identified by the Reporting Source. For consolidated records, the state may be based on reported or corrected residential address information.","The state of residence is part of the patient's demographic data and has multiple uses. It can be used to evaluate referral patterns, allows for the analysis of cancer cluster concerns, and supports epidemiological studies that use area-based social measures.  
   
 

**Instructions for Coding**

*   This field is intended to store residential state for the patient's physical, residential address. The state for PO Box mailing address should not be entered into this data item except in the infrequent case when no other address information is available.
*   If the patient has multiple tumors, state at diagnosis may be different for each tumor.
*   Do not update this item if the patient's residential address changes. Store address update information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis. For instance, it is appropriate to correct a state during the geocoding or consolidation process.
*   Use the U.S. Postal Service abbreviation (for the state, territory, commonwealth, U.S. possession) or Canada Post abbreviation (for the Canadian province/territory) in which the patient resides at the time the reportable tumor is diagnosed.
*   If the patient is a foreign resident, then code either XX or YY depending on the circumstance.",,,Codes (in addition to USPS abbreviations),"Refer to EDITS table STATE.DBF in Appendix B; CD, US, XX, YY, ZZ",Upper case,alpha,,,,,,,,,,
81,State at DX Geocode 1970/80/90,2,NAACCR,"A,C,I,M",Demographic,stateAtDxGeocode19708090,Tumor,2018,18,,,RH*,.,R,.,"Code for the state of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 1970, 1980, or 1990 Decennial Census.","Populating the GeoLocationID 70/80/90 \[351\] correctly requires FIPS code for state and not the USPS abbreviations. Also, on rare occasions, the boundaries of states do change (North Carolina and South Carolina border, for example).",,"**Instructions for Coding**

*   This variable is generated through the process of geocoding either during abstracting or at the central registry level. For U.S. residents, this data item stores the county codes issued by the Federal Information Processing Standards (FIPS) publication Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas. The information in this publication is available in the [**FIPS Codes for Counties and Equivalent Entities Section**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/fips-codes-for-counties-and-equivalent-entities/).
*   It is recommended that geocoding be performed using the NAACCR geocoder.
*   It is recommended that all cases diagnosed through 1999 should have a State at DX Geocode 70/80/90 \[81\] based on 1990 Census.
*   At a minimum, all cases diagnosed through 1995-1999 should have a geocoded State at DX Geocode 1990 \[81\]. Some cases, such as those diagnosed in 1999, must have both State at DX Geocode 1990 \[81\] and State at DX Geocode 2000 \[82\] codes for proper assignment of the Census Tr Poverty Indicatr \[145\].
*   Do not update this item if the patient's residence changes. Store address update information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis.
*   PO Box address information should not be used to geocode this data item except in the infrequent case when no other address information is available.
*   If the patient has multiple tumors, the county codes may be different for each tumor.",**Codes**,"01-95, Blank",,text,"_Note_: For U.S. residents, historically, standard codes are those of the FIPS publication ""Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas."" These FIPS codes (FIPS 6-4) have been replaced by INCITS standard codes, however, there is no impact on this variable as the codes align with the system the Census used for each decennial census and will automatically be accounted for during geocoding.",,,,,,,,,
